playerId,teamId,position,longPassesP90,longPassesAccPC,shortPassesP90,shortPassesAccPC,forwardPassesP90,forwardPassesAccPC,backwardPassesP90,backwardPassesAccPC,keyPassesP90
742,94,rcmf3,2.5303951367781155,27.027027027027028,20.174772036474163,86.10169491525424,13.746200607902736,62.6865671641791,13.267477203647417,81.95876288659794,0.4787234042553192
743,32,amf,2.0061491160645657,55.172413793103445,26.287471176018446,91.84210526315789,11.760184473481937,68.82352941176471,18.470407378939278,92.13483146067416,0.7609531129900077
744,103,amf,5.129533678756476,30.303030303030305,17.875647668393782,82.6086956521739,14.61139896373057,56.38297872340426,10.414507772020725,80.59701492537313,0.15544041450777202
745,11,cf,1.32569558101473,88.88888888888889,16.939443535188214,81.73913043478261,5.597381342062193,52.63157894736842,15.46644844517185,78.0952380952381,0.2945990180032733
746,23,cf,0.40570999248685197,50.0,10.954169797145004,87.65432098765432,4.665664913598798,68.1159420289855,10.1427498121713,85.33333333333333,0.270473328324568
747,57,lb,7.11986301369863,56.277056277056275,32.60958904109589,90.07561436672968,28.541095890410958,75.48596112311016,16.89041095890411,88.86861313868613,0.21575342465753425
748,64,rb,3.2481203007518795,50.0,12.721804511278195,90.42553191489361,10.015037593984962,71.62162162162163,9.338345864661655,86.95652173913044,0.2706766917293233
749,43,lcmf,4.332998996990973,58.333333333333336,25.54663991975928,81.2720848056537,18.099297893681044,63.591022443890274,16.835506519558677,83.37801608579089,0.22567703109327983
750,0,lb,1.175771971496437,72.72727272727273,42.327790973871736,94.44444444444444,14.643705463182897,87.5912408759124,29.928741092636578,91.78571428571429,0.6413301662707839
751,33,cf,0.5890052356020943,0.0,20.732984293193716,92.04545454545455,6.2434554973821985,52.83018867924528,18.259162303664922,95.48387096774194,0.7068062827225131
752,110,cf,0.34829721362229105,60.0,13.513931888544892,80.9278350515464,5.015479876160991,62.5,11.563467492260061,75.90361445783132,0.1393188854489164
753,111,rb,4.023722627737226,34.69387755102041,16.751824817518248,86.02941176470588,15.930656934306569,63.144329896907216,11.085766423357665,76.66666666666667,0.3284671532846715
754,106,lcmf,3.7527922561429636,46.42857142857143,26.20253164556962,87.21227621483376,18.02680565897245,66.54275092936803,17.624720774385704,87.07224334600761,0.06701414743112435
755,32,cf,0.046632124352331605,0.0,9.839378238341968,90.04739336492891,3.6373056994818653,57.69230769230769,10.398963730569948,83.85650224215247,0.32642487046632124
756,45,rcmf,2.7551020408163267,74.07407407407408,35.204081632653065,92.17391304347827,17.551020408163264,81.3953488372093,21.93877551020408,93.48837209302326,0.10204081632653061
757,98,amf,1.588235294117647,46.666666666666664,28.376470588235293,92.16417910447761,11.541176470588235,76.14678899082568,21.28235294117647,90.54726368159204,0.10588235294117647
758,53,rcmf3,1.1934477379095163,52.94117647058823,18.814352574102966,87.31343283582089,7.862714508580344,60.714285714285715,15.304212168486739,91.74311926605505,0.07020280811232449
759,52,rb,7.665768194070081,55.69620253164557,23.53099730458221,88.24742268041237,21.929919137466307,67.03539823008849,13.536388140161725,84.22939068100358,0.33962264150943394
760,7,lb,4.924892703862661,66.66666666666667,38.91630901287554,90.57071960297766,20.568669527896997,74.88262910798122,29.066523605150216,87.20930232558139,0.48283261802575106
761,8,lcb,8.7,51.03448275862069,30.18,88.27037773359841,28.92,73.23651452282158,13.02,88.47926267281106,0.0
762,84,rw,0.8294930875576036,50.0,19.216589861751153,88.48920863309353,4.838709677419355,68.57142857142857,19.078341013824886,82.6086956521739,0.4147465437788018
763,59,gk,2.1862348178137654,70.83333333333333,2.8238866396761133,96.7741935483871,7.01417004048583,88.31168831168831,0.728744939271255,100.0,0.0
764,71,lcmf,3.961760782570031,42.42424242424242,30.0533570475767,89.61384820239681,22.329924410849266,70.60931899641577,19.488661627389952,83.5728952772074,0.20008892841262785
765,60,lamf,1.2943432406519655,13.333333333333334,26.232023010546502,79.9342105263158,11.562799616490892,57.46268656716418,20.450623202301056,76.37130801687763,0.4314477468839885
766,109,lb,5.674198250728863,48.554913294797686,25.550291545189506,88.70346598202823,17.940962099125365,63.43692870201097,16.399416909620992,89.0,0.1967930029154519
767,97,lwb,1.3612099644128113,47.05882352941177,6.9661921708185055,89.65517241379311,7.686832740213523,57.291666666666664,7.686832740213523,64.58333333333333,0.7206405693950177
768,57,lw,0.8955223880597015,8.333333333333334,15.597014925373134,78.4688995215311,9.402985074626866,51.58730158730159,12.462686567164178,71.8562874251497,0.373134328358209
769,61,rb,4.728260869565218,68.96551724137932,23.097826086956523,84.23529411764706,16.304347826086957,66.0,19.51086956521739,79.94428969359332,1.141304347826087
770,51,amf,0.3775167785234899,70.0,12.986577181208053,91.27906976744185,4.152684563758389,76.36363636363636,12.00503355704698,86.79245283018868,0.49077181208053694
771,1,lcmf3,2.208835341365462,67.27272727272727,37.269076305220885,91.37931034482759,17.188755020080322,79.67289719626169,23.413654618473895,92.96740994854203,0.040160642570281124
772,35,rcmf,2.093535749265426,58.94736842105263,46.82908912830558,91.43529411764706,21.68462291870715,80.6910569105691,30.345249755142017,91.06753812636165,0.11018609206660138
773,22,lw,1.4444019870080245,47.61904761904762,21.1501719526175,91.54471544715447,8.975926633549866,62.06896551724138,18.74283530760413,86.78899082568807,0.4814673290026748
774,77,gk,2.0830188679245283,63.04347826086956,3.5547169811320756,92.99363057324841,8.966037735849056,89.8989898989899,0.3849056603773585,88.23529411764706,0.0
775,91,rdmf,6.3,60.714285714285715,37.2375,95.46827794561933,23.625,77.61904761904762,23.7375,92.41706161137441,0.1125
776,17,amf,2.516179135387005,71.29629629629629,40.95780481491069,93.4584755403868,20.735179911985504,85.50561797752809,24.323064975407714,92.62452107279694,0.279575459487445
777,46,rw,2.4897540983606556,43.20987654320987,31.475409836065573,87.890625,13.924180327868852,66.00441501103752,25.81967213114754,87.38095238095238,0.2151639344262295
778,14,ramf,0.6446991404011462,60.0,22.306590257879655,80.34682080924856,9.154727793696274,70.4225352112676,17.535816618911173,71.32352941176471,0.3868194842406877
779,29,lcb,6.7353951890034365,57.6530612244898,5.257731958762887,88.23529411764706,14.50171821305842,63.27014218009479,3.5395189003436425,87.37864077669903,0.06872852233676977
780,77,cf,0.9212848570420049,44.827586206896555,21.69784680550653,83.45534407027819,7.370278856336039,63.36206896551724,19.315213554535827,79.11184210526316,0.2859159901164843
